decibelMedia,decibelDesvioPadrao,decibelMediana,pitchMedia,pitchDesvioPadrao,pitchMediana,Classe
36.5184925,8.389354467,41.16499784,227.1533203,321.2433063,227.1533203,Horota
39.21948694,8.723664912,41.36076957,454.3066406,0,454.3066406,Horota
41.93106047,10.93529038,44.43950579,454.3066406,0,454.3066406,Horota
45.58153031,13.00917011,49.66688111,454.3066406,0,454.3066406,Horota
53.34104151,4.706679335,54.08485631,454.3066406,0,454.3066406,Horota
53.34104151,4.706679335,54.08485631,380.008138,128.6887814,454.3066406,Horota
55.69531329,2.557004692,56.44898902,342.8588867,157.6109251,342.8588867,Horota
56.9233204,0.871436011,56.73955738,231.4111328,0,231.4111328,Horota
55.96253652,2.394457697,56.73955738,231.4111328,0,231.4111328,Horota
55.00781321,2.449056087,55.00781321,238.4851074,14.14794922,231.4111328,Horota
55.90365057,2.325190664,56.73955738,245.559082,16.33664458,245.559082,Horota
53.39929111,4.235767613,53.27606904,245.559082,16.33664458,245.559082,Horota
53.39929111,4.235767613,53.27606904,252.6330566,14.14794922,259.7070313,Horota
54.30758301,4.481176742,56.00094475,259.7070313,0,259.7070313,Horota
54.30758301,4.481176742,56.00094475,259.7070313,0,259.7070313,Horota
52.61371187,4.790270682,52.61371187,219.7477214,69.21155497,259.7070313,Horota
55.65785011,0.485209099,55.65785011,199.7680664,69.21155497,199.7680664,Horota
56.69432057,1.827710865,56.00094475,169.798584,59.93896484,139.8291016,Horota
57.18307501,1.743702435,57.46720807,169.798584,59.93896484,139.8291016,Horota
54.44970287,5.649096546,56.39098177,139.8291016,0,139.8291016,Horota
54.44970287,5.649096546,56.39098177,177.430013,65.12668906,139.8291016,Horota
51.48658967,7.758680382,51.85839726,215.0309245,65.12668906,252.6318359,Horota
46.89056844,7.447042338,44.85594455,252.6318359,0,252.6318359,Horota
43.3650219,2.934414559,43.46230264,252.6318359,0,252.6318359,Horota
39.00422698,5.284259876,40.3831766,252.6318359,0,252.6318359,Horota
39.00422698,5.284259876,40.3831766,252.4365234,0.390625,252.6318359,Horota
39.6780205,6.188445943,40.3831766,252.2412109,0.451054898,252.2412109,Horota
43.93146446,10.07820645,45.48368322,252.1630859,0.427908248,251.8505859,Horota
46.67536307,9.89087536,49.31359584,252.0458984,0.390625,251.8505859,Horota
51.07116706,4.095994835,51.94696305,251.8505859,0,251.8505859,Horota
51.07116706,4.095994835,51.94696305,274.8893229,39.90426299,251.8505859,Horota
48.91519133,8.215475921,51.94696305,297.9280599,39.90426299,320.9667969,Horota
